,family,steel,carbon,hardness,temper_rolling,condition,formability,strength,non-ageing,surface-quality,bf,bt,bw/me,bl,cbond,ferro,blue/bright/varn/clean,shape,thick,width,len,bore,recozimento
680,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.699,1320.0,4880.0,0,ruim
681,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,Y,?,?,SHEET,1.2,610.0,4170.0,0,ruim
682,?,R,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.4,610.0,0.0,0,ruim
683,?,A,0,45,?,S,?,0,?,D,?,?,B,Y,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
684,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.7,1220.0,762.0,0,ruim
685,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.4,609.9,0.0,0,ruim
686,?,A,0,0,?,S,2.0,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.7,1300.0,4170.0,0,ruim
687,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,0.8,50.0,0.0,0,ideal
688,?,K,65,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.1,610.0,0.0,0,mediano
689,?,R,0,0,?,S,2.0,0,?,?,Y,?,?,?,?,?,?,SHEET,2.0,1500.0,4170.0,0,mediano
690,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim
691,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,1.2,609.9,4170.0,0,ruim
692,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,0.6,335.0,611.0,0,mediano
693,?,R,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,SHEET,3.2,1300.0,4880.0,0,ruim
694,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,610.0,4880.0,0,mediano
695,?,A,0,0,?,S,2.0,0,?,G,?,Y,?,?,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
696,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,C,COIL,0.699,610.0,0.0,0,mediano
697,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.699,374.9,4880.0,0,ruim
698,?,R,0,0,?,S,3.0,0,?,?,?,?,B,Y,?,?,?,SHEET,1.599,1320.0,4880.0,0,ruim
699,?,A,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.3,610.0,4880.0,0,mediano
700,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.4,610.0,762.0,0,ruim
701,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.699,375.0,612.0,0,ruim
702,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,COIL,0.3,20.0,0.0,0,ruim
703,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.4,610.0,0.0,0,ruim
704,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,SHEET,1.6,610.0,4880.0,0,ruim
705,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,1.601,1320.0,4880.0,0,ruim
706,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.201,609.9,0.0,0,ruim
707,?,K,45,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,2.3,900.0,0.0,600,mediano
708,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,3.2,150.0,762.0,0,mediano
709,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,?,?,COIL,0.8,250.0,0.0,0,ruim
710,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,3.2,1300.0,4880.0,0,ruim
711,?,K,55,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,3.2,900.0,0.0,600,mediano
712,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.9,966.0,0.0,0,mediano
713,?,A,0,50,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,1.001,50.0,0.0,0,ideal
714,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.4,609.9,0.0,0,ruim
715,?,A,0,0,?,S,2.0,0,?,G,?,?,B,?,?,?,?,SHEET,3.2,610.0,4880.0,0,ruim
716,?,R,0,0,?,S,2.0,0,?,?,Y,?,?,?,?,?,?,SHEET,1.599,1500.0,4170.0,0,ruim
717,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,0,ruim
718,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,0.699,609.9,0.0,0,ruim
719,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,?,?,?,SHEET,0.4,610.0,762.0,0,ideal
720,ZS,A,0,50,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,0.4,610.0,0.0,0,ideal
721,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,0.699,1320.0,0.0,0,ruim
722,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,?,?,COIL,0.8,50.0,0.0,0,ruim
723,?,?,0,0,?,?,?,500,?,?,?,?,?,?,?,?,B,SHEET,1.6,300.1,301.0,0,ideal
724,?,R,0,0,?,S,2.0,0,?,?,?,Y,?,?,?,?,?,SHEET,0.8,610.0,762.0,0,ruim
725,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,Y,?,?,SHEET,1.6,610.0,4170.0,0,ruim
726,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.2,1250.0,762.0,0,ruim
727,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.7,610.0,762.0,0,mediano
728,?,A,0,60,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.8,50.0,0.0,0,ideal
729,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,COIL,0.8,609.9,0.0,0,mediano
730,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.601,831.9,881.0,0,ruim
731,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,0.7,609.9,4170.0,0,mediano
732,?,A,0,0,?,S,2.0,0,?,G,?,?,M,?,?,?,?,COIL,4.0,385.1,0.0,0,ruim
733,?,?,0,50,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.601,1320.0,0.0,0,ideal
734,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.301,1320.0,762.0,0,mediano
735,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,1.2,150.0,3000.0,0,ruim
736,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,Y,?,?,?,SHEET,1.6,1320.0,4880.0,0,ruim
737,?,?,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.6,609.9,0.0,0,ideal
738,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,SHEET,1.6,335.0,3000.0,0,ideal
739,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.699,1320.0,4880.0,0,ruim
740,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.699,1320.0,301.0,0,mediano
741,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,3.2,60.0,0.0,0,ruim
742,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,1.6,1320.0,0.0,0,mediano
743,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,Y,?,SHEET,1.6,1220.0,762.0,0,ruim
744,?,A,0,60,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.6,1320.0,0.0,0,ideal
745,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,3.2,1320.0,762.0,0,ruim
746,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.699,610.0,0.0,0,ruim
747,?,M,0,0,?,?,?,350,?,G,?,?,?,?,?,?,?,COIL,1.6,50.0,0.0,0,ideal
748,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,SHEET,0.301,1220.0,4170.0,0,ruim
749,?,K,55,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,3.2,640.0,0.0,600,mediano
750,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.4,375.0,612.0,0,ruim
751,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.4,1320.0,0.0,0,ruim
752,?,S,70,0,?,?,?,0,?,?,?,?,M,?,?,?,?,SHEET,2.5,610.0,762.0,0,mediano
753,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,3.2,610.0,0.0,0,ideal
754,?,K,65,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,3.2,900.0,0.0,600,mediano
755,?,K,45,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,2.2,900.0,0.0,0,mediano
756,?,A,0,0,?,S,3.0,0,N,G,?,?,?,?,?,?,?,COIL,1.001,610.0,0.0,0,mediano
757,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,610.0,4880.0,0,ruim
758,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,1.601,610.0,762.0,0,ruim
759,?,A,0,0,?,S,3.0,0,N,F,?,?,?,?,?,?,?,SHEET,1.0,610.0,4880.0,0,ruim
760,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.999,610.0,762.0,0,ruim
761,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.699,0.0,762.0,0,ruim
762,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.4,1320.0,4880.0,0,ruim
763,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,SHEET,0.8,610.0,762.0,0,ideal
764,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim
765,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.601,610.0,762.0,0,ruim
766,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,2.0,1250.0,0.0,0,ruim
767,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.699,1320.0,761.0,0,mediano
768,?,A,0,0,?,S,2.0,0,?,G,Y,?,B,?,?,?,?,COIL,0.699,1320.0,0.0,0,ruim
769,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,0.7,609.9,4170.0,0,ruim
770,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.601,609.0,4880.0,0,ruim
771,?,M,0,0,?,?,?,600,?,G,?,Y,?,?,?,?,?,SHEET,0.9,1050.0,1220.0,0,ideal
772,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.7,1525.0,762.0,0,ruim
773,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.2,609.9,0.0,0,ruim
774,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,0.7,599.9,0.0,0,ruim
775,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,1.6,609.9,0.0,0,mediano
776,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,SHEET,1.2,375.0,612.0,0,mediano
777,?,A,8,0,?,S,?,0,?,G,?,?,?,?,?,?,?,COIL,3.2,609.9,0.0,0,ruim
778,?,?,0,0,?,S,1.0,0,?,G,?,?,B,Y,?,?,?,SHEET,0.699,1300.0,4880.0,0,ruim
779,?,K,45,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.1,610.0,0.0,0,mediano
780,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,609.9,762.0,0,ruim
781,?,A,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.3,1320.0,0.0,0,ruim
782,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,?,?,?,SHEET,0.8,610.0,4880.0,0,ideal
783,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.6,520.0,0.0,0,ruim
784,?,A,0,80,T,?,?,0,?,G,?,?,?,?,?,?,?,SHEET,1.6,1320.0,4170.0,0,ideal
785,?,A,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,3.2,1320.0,762.0,0,ruim
786,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,COIL,1.0,609.9,0.0,0,mediano
787,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,COIL,0.699,610.0,0.0,0,ruim
788,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,SHEET,1.599,610.0,762.0,0,ideal
789,?,?,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.6,610.0,0.0,600,mediano
790,?,K,55,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,2.2,640.0,0.0,0,mediano
791,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim
792,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.7,1220.0,762.0,0,ruim
793,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.599,610.0,4880.0,0,ruim
794,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,Y,?,?,COIL,0.24,20.0,0.0,0,ruim
795,?,A,0,0,?,S,2.0,0,?,G,?,Y,?,?,?,?,?,COIL,0.3,1320.0,0.0,0,ruim
796,ZS,A,0,50,T,?,?,0,?,E,?,?,B,?,?,?,?,SHEET,0.451,1250.0,762.0,0,ideal
797,?,K,45,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.5,900.0,0.0,0,mediano
798,?,A,0,0,?,S,2.0,0,?,G,Y,?,B,Y,?,?,?,SHEET,1.599,1300.0,4880.0,0,ruim
799,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,COIL,3.2,1320.0,0.0,0,mediano
800,?,K,45,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,3.2,640.0,0.0,500,mediano
801,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,1.6,609.9,3000.0,0,ideal
802,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,Y,?,SHEET,1.6,609.9,612.0,0,mediano
803,?,R,0,0,?,S,2.0,0,?,?,?,?,?,Y,?,?,?,SHEET,1.6,1500.0,4170.0,0,mediano
804,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,1.2,609.9,1.0,0,ideal
805,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.601,830.0,880.0,0,mediano
806,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.4,20.0,0.0,0,ideal
807,?,A,0,85,T,?,?,0,?,G,?,Y,M,?,?,?,?,COIL,4.0,610.0,0.0,500,mediano
